Time (s),X(mG),Y(mG),Z(mG),Classification
34.6,1040,816,-592,Walking
34.64,976,568,-280,Walking
34.68,960,496,-40,Walking
34.72,904,376,-96,Walking
34.76,1016,352,48,Walking
34.8,984,304,32,Walking
34.84,960,280,-48,Walking
34.88,896,280,-32,Walking
34.92,832,304,-48,Walking
34.96,760,280,-88,Walking
35,720,248,-112,Walking
35.04,720,208,-120,Walking
35.08,728,224,-96,Walking
35.12,776,280,-96,Walking
35.16,880,328,-96,Walking
35.2,1008,360,-144,Walking
35.24,1136,360,-120,Walking
35.28,1296,352,-40,Walking
35.32,1312,408,-80,Walking
35.36,1096,432,-152,Walking
35.4,944,400,-88,Walking
35.44,896,328,-24,Walking
35.48,864,296,-48,Walking
35.52,880,272,-32,Walking
35.56,896,320,8,Walking
35.6,864,352,-96,Walking
35.64,808,344,-184,Walking
35.68,760,304,-200,Walking
35.72,768,272,-216,Walking
35.76,784,248,-240,Walking
35.8,816,248,-272,Walking
35.84,888,272,-328,Walking
35.88,944,288,-320,Walking
35.92,1080,296,-272,Walking
35.96,1224,320,-328,Walking
36,1280,376,-256,Walking
36.04,1096,360,-176,Walking
36.08,936,344,-152,Walking
36.12,992,360,-136,Walking
36.16,1032,344,-56,Walking
36.2,984,320,8,Walking
36.24,952,320,-16,Walking
36.28,912,336,8,Walking
36.32,848,352,-8,Walking
36.36,784,320,-32,Walking
36.4,744,312,-80,Walking
36.44,752,288,-96,Walking
36.48,760,280,-120,Walking
36.52,792,256,-184,Walking
36.56,864,240,-232,Walking
36.6,984,240,-184,Walking
36.64,1064,264,-264,Walking
36.68,1024,280,-312,Walking
36.72,952,256,-392,Walking
36.76,944,160,-232,Walking
36.8,976,160,-208,Walking
36.84,992,216,-184,Walking
36.88,952,320,-112,Walking
36.92,912,408,-120,Walking
36.96,840,448,-160,Walking
37,824,440,-208,Walking
37.04,808,384,-216,Walking
37.08,824,368,-264,Walking
37.12,848,352,-312,Walking
37.16,904,328,-272,Walking
37.2,936,312,-248,Walking
37.24,960,296,-208,Walking
37.28,1016,304,-200,Walking
37.32,1040,336,-160,Walking
37.36,1136,392,-96,Walking
37.4,1080,424,-56,Walking
37.44,976,424,-24,Walking
37.48,944,400,-16,Walking
37.52,1016,352,16,Walking
37.56,1032,320,24,Walking
37.6,1008,296,24,Walking
37.64,960,280,48,Walking
37.68,904,288,48,Walking
37.72,832,296,16,Walking
37.76,792,312,-8,Walking
37.8,776,288,-72,Walking
37.84,800,280,-96,Walking
37.88,840,240,-144,Walking
37.92,848,224,-208,Walking
37.96,888,224,-208,Walking
38,984,272,-224,Walking
38.04,1080,304,-288,Walking
38.08,1112,304,-328,Walking
38.12,1000,288,-288,Walking
38.16,904,312,-320,Walking
38.2,872,328,-368,Walking
38.24,928,344,-304,Walking
38.28,952,368,-296,Walking
38.32,968,400,-248,Walking
38.36,920,400,-192,Walking
38.4,880,408,-168,Walking
38.44,872,384,-136,Walking
38.48,904,344,-112,Walking
38.52,896,312,-112,Walking
38.56,880,304,-80,Walking
38.6,864,304,-64,Walking
38.64,856,296,-40,Walking
38.68,936,304,-32,Walking
38.72,968,336,24,Walking
38.76,944,384,64,Walking
38.8,920,368,152,Walking
38.84,904,328,96,Walking
38.88,944,312,64,Walking
38.92,960,328,120,Walking
38.96,1040,344,168,Walking
39,976,368,160,Walking
